 aqi, level, so2, no2, pm10, pm2_5, o3, co
39,1,8,21,39,19,58,0.7
68,2,6,15,38,22,121,0.6
63,2,15,22,64,45,66,0.8
28,1,7,17,28,15,46,0.7
50,1,6,17,38,23,100,0.6
59,2,14,23,55,42,47,0.9
115,3,10,25,41,22,176,0.6
87,2,26,37,86,64,38,1
149,3,14,55,247,65,35,1
39,1,5,16,27,12,77,0.4
21,1,5,15,19,8,41,0.6
36,1,8,19,36,20,30,0.7
64,2,15,25,65,46,39,1
113,3,10,48,117,85,20,1.1
44,1,6,12,29,11,88,0.5
37,1,5,13,24,10,74,0.4
87,2,27,40,92,64,72,1
38,1,6,19,38,21,73,0.6
46,1,5,13,27,10,91,0.5
57,2,16,15,52,40,44,0.7
45,1,6,22,40,18,89,0.6
64,2,13,23,69,46,103,0.8
38,1,5,18,37,19,76,0.5
80,2,6,19,46,22,136,0.5
36,1,10,15,27,20,72,0.7
37,1,5,19,23,11,73,0.5
32,1,6,13,29,13,64,0.5
26,1,12,14,26,17,41,0.6
103,3,24,36,107,77,57,0.8
64,2,6,21,46,25,116,0.5
25,1,9,19,25,15,24,0.6
63,2,8,15,66,40,115,0.7
65,2,10,29,79,44,98,0.8
89,2,33,38,98,66,62,1
30,1,11,24,30,21,48,1
33,1,5,14,28,14,66,0.4
132,3,16,73,152,100,62,1
82,2,21,34,92,60,61,1
34,1,10,18,34,19,11,1
65,2,35,37,80,42,71,0.8
32,1,6,16,23,12,63,0.7
35,1,15,20,35,20,42,0.8
40,1,6,20,37,15,80,0.5
114,3,24,38,177,53,111,0.8
83,2,16,31,83,61,30,0.9
44,1,12,20,44,27,61,0.6
21,1,6,13,21,10,33,0.7
64,2,15,25,65,46,39,1
33,1,7,13,18,8,66,0.5
112,3,11,48,119,84,30,0.9
25,1,5,14,25,13,30,0.5
80,2,5,19,40,20,135,0.6
125,3,5,23,42,26,187,0.8
43,1,15,23,43,29,52,0.9
38,1,7,18,31,13,76,0.4
33,1,7,15,25,12,65,0.5
45,1,14,22,43,31,37,0.9
69,2,8,20,32,15,122,0.6
31,1,6,16,23,12,61,0.5
117,3,12,56,122,88,28,0.9
28,1,9,21,28,15,44,0.7
75,2,25,17,70,55,75,0.6
106,3,8,22,68,30,166,0.7
27,1,7,21,21,11,37,0.6
54,2,6,12,26,11,104,0.5
45,1,15,23,43,31,46,0.9
55,2,5,14,32,16,105,0.4
48,1,6,28,48,23,85,0.6
28,1,5,12,18,7,56,0.4
28,1,7,17,28,15,46,0.7
37,1,5,29,29,19,37,0.7
95,2,32,49,114,71,73,1
49,1,20,17,49,30,60,0.6
26,1,8,18,26,14,47,0.6
55,2,7,15,48,25,106,0.6
31,1,11,23,31,20,19,0.9
83,2,9,28,92,50,139,0.8
33,1,6,18,32,19,65,0.6
136,3,6,33,86,53,199,1.1
133,3,6,17,46,27,196,0.7
32,1,5,13,25,10,63,0.4
32,1,9,24,32,18,10,0.9
42,1,14,16,42,27,52,0.5
48,1,6,28,48,23,85,0.6
63,2,26,32,75,41,56,0.7
44,1,6,12,29,11,88,0.5
56,2,10,29,54,19,107,0.6
35,1,14,21,35,20,28,0.8
113,3,6,28,50,25,174,0.8
25,1,5,15,20,6,50,0.5
29,1,8,16,24,13,57,0.7
49,1,6,20,36,17,97,0.6
46,1,12,25,46,28,35,0.9
64,2,13,23,69,46,103,0.8
131,3,9,37,89,45,194,1.2
112,3,9,45,115,84,66,0.9
59,2,7,14,37,21,110,0.6
42,1,12,23,42,24,27,0.8
105,3,5,24,35,21,165,0.7
28,1,9,21,28,15,44,0.7
139,3,6,19,39,22,202,0.8
65,2,7,24,42,24,117,0.6
65,2,7,24,42,24,117,0.6
103,3,13,42,103,77,27,0.9
112,3,56,61,141,84,96,1.4
39,1,6,24,39,24,50,0.6
37,1,16,13,33,24,73,0.6
127,3,13,22,203,46,71,0.5
59,2,10,20,67,42,99,0.6
103,3,10,42,99,77,23,0.8
29,1,9,13,17,8,58,0.6
117,3,10,49,100,88,56,1.1
37,1,16,13,33,24,73,0.6
56,2,15,22,61,36,80,0.7
33,1,7,13,18,8,66,0.5
72,2,18,33,73,52,33,1
58,2,7,18,29,13,109,0.5
45,1,10,19,43,31,44,0.8
53,2,5,13,30,16,103,0.6
53,2,8,16,56,32,49,0.7
112,3,56,61,141,84,96,1.4
53,2,17,28,56,33,38,1
36,1,10,15,27,20,72,0.7
63,2,39,42,75,39,61,1
73,2,34,42,85,53,67,0.8
32,1,5,19,28,12,64,0.5
62,2,8,17,67,44,105,0.7
30,1,6,11,24,10,60,0.4
53,2,14,25,56,36,51,0.8
53,2,13,26,55,36,32,0.8
26,1,6,14,26,11,47,0.5
